name,city,kind,item_id,place_id,google_name,google_category,raw_status,status
Cafe Velez La Floresta,Guapulo,Cafe,682f68ce6a882ae0d3254e9d,ChIJbxXYlWqb1ZERrn8_uTdf65o,Coffee Shop Velastegui,Coffee shop,OPERATIONAL,Open
Cafe da Garagem,Castelo,Cafe,67dbb82a504f03ad3bff4d20,ChIJOSikPogzGQ0RjbLAaULrSZ0,Café da Garagem,Cafe,OPERATIONAL,Open
Cafe de Koh Phangan,Thong Sala,Cafe,6784e218355e745c2caa6f8f,ChIJES6ISrz9VDARPfovM0Erdgs,,,ERROR:404,ERROR:404
Cafe del Born,El Born,Cafe,67dbb818d505e94c4326db0c,ChIJPeByD_6ipBIRS6hspV6vfyc,Cafè del Born,Cafe,OPERATIONAL,Open
Cafe in der Burggasse24,Neubau,Cafe,67dbb83007076504f24862ed,ChIJHwDDQ5IHbUcRx0lrGP_wv7M,Cafe in der Burggasse24,Cafe,OPERATIONAL,Open
Cafe:in House,Kampung Baru,Cafe,67c19545a1d76679e89aa920,ChIJW0w7UChIzDERWGflpMgxv20,Cafe:in House,Breakfast restaurant,OPERATIONAL,Open
Caffe vom See,Margareten,Cafe,67dbb82fee26f6b1058f5fb0,ChIJ7wNGgugHbUcRXqBl3cfmF4g,Caffe vom See,Cafe,OPERATIONAL,Open
Caffeine EE,Telliskivi,Cafe,66f857f0a136d5f5d4f4fc34,ChIJ_aCMZmCTkkYR6JaYq6OrKls,Caffeine EE,Coffee Shop,OPERATIONAL,Open
Caffiend,Cairns CBD,Cafe,6809d00c1f2325d5045f6e89,ChIJTbbIzZNmeGkR_N-JS1WXCj8,Caffiend,Cafe,OPERATIONAL,Open
Café Blá - Specialty Coffee Shop,Au-Haidhausen,Cafe,66c1ffe7591c2b56960deea2,ChIJmxcdvXzfnUcRbwzkybwjFGo,Café Blá,Coffee Shop,OPERATIONAL,Open
Café Culture Coffee,Sairee Beach,Cafe,67c195484f40ee7a8f3d4e17,ChIJj-yTIuyhVTARgtusXgBmQaU,Café Culture Coffee,Cafe,OPERATIONAL,Open
Café Encontro,Sal Rei,Cafe,676736cf1a411002707ffd45,ChIJ92mOLdU9SwkRgfWP2JuWAzQ,Café Encontro,Cafe,OPERATIONAL,Open
Café Velodome,Phra Nakhon,Cafe,674b37a0d5dd4e12f7834a6d,ChIJ6zNwWwyZ4jARZ5EmnxkG5Lg,Café Velodome – All day Breakfast,Breakfast restaurant,OPERATIONAL,Open
Café Verde,Mindelo,Cafe,676736d01d037159b010aae8,ChIJ221rtX0fTwkR0Nd9ETYXT-k,Café Verde,Cafe,OPERATIONAL,Open
Camp 308 by IZE,Pererenan,Coworking Space,65fa86d0e0379bf78d5245b7,ChIJS0YdYxw50i0R2yolQvUtplI,Camp 308 by IZE Canggu,Coworking Space,OPERATIONAL,Open
Camp Creative and Meeting Place,Nimman,Cafe,660a66362a8dcb3854441668,ChIJVRYatWE62jARA52IbLWUhPQ,CAMP Creative and meeting place,Coworking Space,OPERATIONAL,Open
Canteen Cafe,Canggu,Cafe,65fa86d0e0379bf78d5247bd,ChIJo3HAInw40i0R0zagdSIq9q0,Canteen Cafe,Brunch Restaurant,OPERATIONAL,Open
Cape Fruit,Santa Maria,Cafe,676736cf89a1188e68236120,ChIJ9S3NzfRbSwkRAnyutMP6a4c,Cape Fruit,Restaurant,OPERATIONAL,Open
Carl Ludwig Cafe,Wieden,Cafe,67dbb830ea3ad0a21ebb0aa2,ChIJR97QN_cHbUcRtl5tEBPfKqw,Carl Ludwig Cafe,Cafe,OPERATIONAL,Open
Carrot Cafe,Old City,Cafe,660a66360b296d0efa127533,ChIJzd7GKOAUkFQRw2zKExHQSZw,14 Carrot Cafe,Restaurant,OPERATIONAL,Open
Carrot Cafe Koh Phangan,Chaloklum,Cafe,6784e2147b4a753aff29306e,ChIJI4IEJzoCVTARCk9A2NnLEyw,Carrot Cafe,Restaurant,OPERATIONAL,Open
Casa Independente,Intendente,Cafe,67dbb82bd5406b3628168fdf,ChIJx3N2iIUzGQ0ROsa_StTlgNo,Casa Independente,Bar,OPERATIONAL,Open
Ceresia Coffee Roasters,Sukhumvit,Cafe,6668001c89ed7ce9f6a92243,ChIJv4zDUi6f4jAR766B6qCKqX8,Ceresia Coffee Roasters,Coffee roastery,OPERATIONAL,Open
Chappies Bar,Gili Trawangan,Cafe,6613fb812294e555467c2e00,ChIJ1YXbatjdzS0RIr3riwEwBBk,Chappies Bar,Indonesian Restaurant,OPERATIONAL,Open
"Chestnut Bakery, Belgravia",Victoria,Cafe,6809d009c6dc5faef1524770,ChIJMcmAWGAFdkgRdlL0s3jyK4g,"Chestnut Bakery, Belgravia",Bakery,OPERATIONAL,Open
Cinta Berawa,Bali,Untagged,65fa86d0e0379bf78d524586,ChIJubCLsXhH0i0RKZzHHnUTgF8,Cinta Berawa,Restaurant,CLOSED_TEMPORARILY,Temporarily closed
Clean Hearts Cafe - Old Street,Shoreditch,Cafe,67d0057fbcfbe0e5e5a882a6,ChIJr0MWsHIddkgRUASkBa-R3f0,Clean Hearts Cafe - Old Street,Coffee shop,OPERATIONAL,Open
Clear Cafe Canggu,Canggu,Cafe,65fa86d0e0379bf78d524584,ChIJ4yXYSBg50i0R3dQdcyc4C7s,Clear Cafe,Restaurant,CLOSED_PERMANENTLY,PERMANENTLY CLOSED
Clear Cafe Ubud,Ubud,Cafe,65fa86d0e0379bf78d5247b6,ChIJuWpfwms90i0RmUc7F9E9hGY,Clear Cafe,Cafe,OPERATIONAL,Open
Cloud Coffee,Suthep,Cafe,67d0057f2dda61cb90d8e6e3,ChIJAxGhZOM72jARiAMHp1tbGsY,Cloud Coffee,Cafe,OPERATIONAL,Open
Cloudworks El Born,El Born,Coworking Space,6809cff330e33b57847dd468,ChIJNyom1gejpBIREqa2HzwFzgI,Cloudworks El Born,Coworking space,OPERATIONAL,Open
Cloudworks La Rambla - Drassanes,La Rambla,Coworking Space,6809cff330e33b57847dd465,ChIJZaH1npejpBIRf5Ms3Un0TuQ,Cloudworks La Rambla - Drassanes,Coworking space,OPERATIONAL,Open
Cloudworks Sant Antoni,Sant Antoni,Coworking Space,6809cff53d3ee1234b7bd57a,ChIJuR3ZdLCjpBIR-suyWblAs5s,Cloudworks Sant Antoni,Coworking space,OPERATIONAL,Open
Cloudworks Sant Joan,L'Eixample Dreta,Coworking Space,6809cff492fd7d3374c61eda,ChIJDwqFOwCjpBIRIoolIq4NTjs,Cloudworks Sant Joan,Coworking space,OPERATIONAL,Open
Clove,Seseh,Cafe,663291465aa0a1ffc93012e0,ChIJn3c_S1M50i0RUkAgeWQGxeo,Clove - Seseh,Restaurant,OPERATIONAL,Open
CoWorkBude14 - Coworking in Winterhude,Winterhude,Coworking Space,67d81020a75efa94b9d5b19f,ChIJFY1-C7eJsUcROY8pHs79buo,CoWorkBude14 - Coworking in Winterhude,Coworking space,OPERATIONAL,Open
Coastal Grounds Coffee Siargao,General Luna,Cafe,67246a399ec6f0803f1253b0,ChIJdaeoWq8JBDMRZU25FwQ34jU,Coastal Grounds Coffee Siargao,Coffee Shop,OPERATIONAL,Open
Coco Cafe & Ice Cream,Gili Trawangan,Cafe,6613fb81f6f34366981baf0f,ChIJW2RmD2vdzS0ROYhFnp7f2n4,Coco cafe & Ice Cream,Coffee Shop,OPERATIONAL,Open
Coco Space,General Luna,Coworking Space,6809d00d1f2325d5045f6fe1,ChIJU3SNJJQJBDMRBP3vtCh_pFc,Coco Space | Siargao Coworking Space & Community,Coworking space,OPERATIONAL,Open
Coconut Monkey,Mae Haad,Cafe,67c195445a754d8053648232,ChIJ80Cv1I-hVTARcJ-39nMbTBU,Coconut Monkey,Cafe,OPERATIONAL,Open
Code Space Coworking Space,Fa Ham,Coworking Space,67dbb81ea4e8954f6bec5811,ChIJe_HTM9Q62jAR-Coi2WZlWFw,Code Space Co-working Space,Coworking space,OPERATIONAL,Open
Coffee & Thyme Gili Trawangan,Gili Trawangan,Cafe,6613fb7fc72435975960ab0a,ChIJk_S2yQLdzS0RrqqnOOUmPQo,Coffee & Thyme Gili Trawangan,Coffee Shop,OPERATIONAL,Open
Coffee Box,Au-Haidhausen,Cafe,66c1ffe8234911f96b0e72ba,ChIJL21y9fd1nkcRJw71SinaOMw,Coffee Box,Coffee Shop,OPERATIONAL,Open
Coffee Corner Bakery Machova,Vinohrady,Cafe,67dbb82de400d4eb3b3db69a,ChIJqT8AlOeVC0cRgR99VheI_bU,Coffee corner bakery,Coffee shop,OPERATIONAL,Open
Coffee Fellows Leopoldstrasse,Schwabing,Cafe,66c1ffe8a3d76f74288c3e4a,ChIJdaCi6rh1nkcRu81IhMVLfsE,"Coffee Fellows - Coffee, Bagels, Breakfast",Cafe,OPERATIONAL,Open
Coffee Fellows Tal,Altstadt-Lehel,Cafe,66c1ffe8c2f1bc92ad2e4c8f,ChIJYe5tiol1nkcROeMOKBlYNKs,Coffee Fellows,Cafe,OPERATIONAL,Open
Coffee Island,Covent Garden,Cafe,6809cffdc6ebe3071526fc39,ChIJMyWOCs0EdkgR36UVVdRiiv0,Coffee Island,Coffee shop,OPERATIONAL,Open
Coffee Junction,Shoreditch,Cafe,6809d0078141cc203339b77d,ChIJo7RVm6YcdkgRM0PBHWoYhqg,42 Coffee Junction,Coffee shop,OPERATIONAL,Open
Coffee Shop Berawa,Berawa,Cafe,665ed1a5ef98fb50f4c1e618,ChIJwcJ-jYFH0i0R9IzvMUCDe90,Coffee Shop Berawa,Cafe,CLOSED_PERMANENTLY,PERMANENTLY CLOSED
Coffee U-Boot,Mariahilf,Cafe,67dbb82f3d9e84649e43f9b9,ChIJxUn9vFcHbUcRnMpoyqWlfi0,Coffee U-Boot,Coffee shop,OPERATIONAL,Open
Coffee Wake,Silom,Cafe,677bc82c58bee706e157829d,ChIJyycnZNaZ4jARtO0Wv11d8oQ,Coffee Wake,Coffee shop,OPERATIONAL,Open
CoffeePirates,Alsergrund,Cafe,6676cf06a5d1c33e1116d564,ChIJ3a8QIcEHbUcRr8y9lFyb1Hw,CoffeePirates,Cafe,OPERATIONAL,Open
Coffeeology,Phloen Chit,Cafe,674b37a0fbc7383b4c994dee,ChIJlftxYNue4jARPUSAHylrrII,Coffeeology,Cafe,CLOSED_PERMANENTLY,PERMANENTLY CLOSED
Colabo Cafe,Uluwatu (Jimbaran),Cafe,65fa86d0e0379bf78d5247a2,ChIJ-5V_9-ZE0i0R25rWoEfCByY,Colabo Cafe - Breakfast and Brunch Spot,Cafe,OPERATIONAL,Open
Collaborative One - Flexible Workspaces,South Croydon,Coworking Space,6809d0088d21fca2437b87ca,ChIJ5S4OwygHdkgR8czZcifVFI0,Collaborative One - Flexible Workspaces & Office Rental,Business center,OPERATIONAL,Open
Comeet Creative Space,Heraklion,Coworking Space,66e7cd8f8930475289ccbf9e,ChIJqcBkyIBZmhQRVDLNIzprqR8,Comeet Creative Space,Coworking Space,CLOSED_PERMANENTLY,PERMANENTLY CLOSED
Common,Clapham,Cafe,6809cffc8b8009b34b39fa8a,ChIJs2RUpO0FdkgRr3MJ9wkveDU,Common,Cafe,OPERATIONAL,Open
Common Ground Central World,Siam,Coworking Space,674b37a3db75f1b2a4159b8a,ChIJxx7J-bWd4jARo06iEgppJY8,Common Ground Central World,Coworking space,OPERATIONAL,Open
Common Ground G Tower,Huai Khwang,Coworking Space,674b37a3464b231db2ce0b5c,ChIJO-oki6if4jAR_37BSKeGehs,Common Ground G Tower,Coworking space,OPERATIONAL,Open
Common Ground Ploenchit,Phloen Chit,Coworking Space,674b37a36541130c2bea46ed,ChIJSUbUzQSf4jARHUTqMpT8Zog,Common Ground Ploenchit,Coworking space,OPERATIONAL,Open
Common Ground by Spacemade,Wimbledon,Coworking Space,67d52fb0794483edbf42d273,ChIJMczi5_UJdkgRFKvr4QiXXng,Common Ground by Spacemade,Real estate agency,OPERATIONAL,Open
Common Grounds Coffee,Wok Tum,Cafe,6784e21854282d61143163f3,ChIJ05Vl6kv9VDAR6EQoL0pxAHo,Common Grounds Coffee,Coffee shop,OPERATIONAL,Open
Comoba,Cais do Sodre,Cafe,663e5f599ac03722a769ae5b,ChIJs9A-wr81GQ0RQO_3iV_ZtXU,COMOBÅ,Cafe,OPERATIONAL,Open
Cookies Cafe,Srithanu,Cafe,6784e215cac506bc5144d480,ChIJHyZMCt8BVTARIX1f6_g4Dy0,Cookies Cafe,Coffee shop,OPERATIONAL,Open
CoolMuang Coffee,Old City,Cafe,660a6635f34b5aa2d29f0d68,ChIJm_jLTqI62jARxMmgL2nWfvo,CoolMuang Coffee,Cafe,OPERATIONAL,Open
Copenhagen Coffee Lab - Santa Clara,Santa Clara,Cafe,663e5f5923b1080c14f756bd,ChIJDTth7IozGQ0R9u8sSW43M2I,Copenhagen Coffee Lab - Campo de Santa Clara,Cafe,OPERATIONAL,Open
Copenhagen Coffee Lab Winterhude,Winterhude,Cafe,666b03fb5273cee26e6d2740,ChIJtbo_njmJsUcRv4rDtS4jx0U,Copenhagen Coffee Lab,Coffee Shop,OPERATIONAL,Open
Cotidiano - Chiado,Baixa,Cafe,67dbb82a9b9a7bd5d4e4f72d,ChIJL7dqrpU1GQ0RgWvIgomudCY,Cotidiano - Chiado,Brunch restaurant,OPERATIONAL,Open
Cotton Tree Coffee Roasters,Nimman,Cafe,67dbb81fc24274cca94b2294,ChIJ898yEWA62jARgaE_MHll7sA,Cottontree,Cafe,OPERATIONAL,Open
Counting Sheep Corner,Sukhumvit,Cafe,674b37a0a04f12f57f48cbc5,ChIJWTOFU66f4jARouEsaZ6ngNI,Counting Sheep Corner,Restaurant,OPERATIONAL,Open
Cowork Funchal,Funchal,Coworking Space,664fb8980d7d14d3e11a8b66,ChIJ0U8-UQhgYAwR2SPRJKP_amc,Cowork Funchal,Coworking Space,OPERATIONAL,Open
Coworking Space H24,Thong Sala,Coworking Space,6784e210f5ed5087d887b1f7,ChIJPQGcmiv9VDARoGzrXpvkQOs,Coworking Space H24,Coworking space,OPERATIONAL,Open
Coworking Space Ponta do Sol,Ponta do Sol,Coworking Space,67d65594a76aa2b2afaadf8d,ChIJTa-2R21XYAwR_Wc9aLkg_Zk,Co-working Space Ponta do Sol,Coworking space,OPERATIONAL,Open
Coworking at Meraki Market Cafe,Chloraka,Coworking Space,67dbb82cd505e94c4326f037,ChIJJ3PhYDYH5xQRkpPPKY3XcIY,Coworking at Meraki Market Café,Coworking space,OPERATIONAL,Open
Coworking at Sunset Hill Resort,Srithanu,Coworking Space,6784e20fcac506bc5144cfaf,ChIJQedo_ov9VDARR01xNy2Hsys,Coworking at Sunset Hill Resort,Coworking space,CLOSED_TEMPORARILY,Temporarily closed
Cozi Cafe And Bar,Sukhumvit,Cafe,674b37a08577b80adfa59282,ChIJy5MjCT2f4jARDkeF7gr_dgs,COZI Cafe and Bar,Coffee shop,OPERATIONAL,Open
Craft,Lumphini,Cafe,674b37a41d78a6be7f43d179,ChIJQSpPi9Gf4jARJIoCM1AOlfc,CRAFT,Cafe,OPERATIONAL,Open
Cremositos Boavista,Sal Rei,Cafe,676736cf874353655e293f75,ChIJnYUNRCk9SwkRPr762hbU19Q,Cremositos Gelateria Boavista,Ice cream shop,OPERATIONAL,Open
Cuppa Espresso Bar,Uluwatu (Ungasan),Cafe,65fa86d0e0379bf78d5247a3,ChIJP2eY1cxE0i0Ri9SZhCIPZKE,"CUPPA Espresso Bar Coffee,Breakfast&Brunch",Coffee Shop,OPERATIONAL,Open
Curfew Restaurant and Beer Garden,Kuta,Cafe,66d7e9babab9945648a84f14,ChIJGfAxJU2pzS0RByL3aqYWqLE,Curfew Restaurant and Beer Garden,Restaurant,OPERATIONAL,Open
Curva Cafe,Graca,Cafe,67dbb82b9d7b9f1af5e4fb09,ChIJf8d1rdczGQ0RJ-oOips9mds,Curva,Cafe,OPERATIONAL,Open
D16 Coffee,Diocletian's Palace,Cafe,67dbb82d90548257c388ed5e,ChIJm1gxIv5dNRMRrA1i0tWyp8M,D16 Coffee,Cafe,OPERATIONAL,Open
DEOS Coworking,Canggu,Coworking Space,67ba680ec6e7b846dc15ffa4,ChIJYRocrIw50i0RQ7nCFvV2o8g,DEOS Coworking,Coworking space,OPERATIONAL,Open
Daily Hub - Cafe & Co Work,Kerobokan,Cafe,660f6e1bc567e77fd0c49351,ChIJZddSvpVH0i0ReMVTrf07mVU,Daily Hub - Cafe & Co Work,Cafe,OPERATIONAL,Open
Danasol - Eatery Cafe Workspace,Da Nang,Cafe,6666b048f8fc2b590fb950c6,ChIJFXcbvUUXQjERyyk7pzfqGmE,Danasol,Brunch Restaurant,OPERATIONAL,Open
Dark Roast Cafe,Colombo 4,Cafe,67c19547e8f05799118c74cb,ChIJD90Uvedb4joRk6pn9yR59QI,Dark Roast Cafe,Coffee shop,CLOSED_PERMANENTLY,PERMANENTLY CLOSED
DeBru Craft Beer,Picoas,Cafe,67dbb82b68b145495a7cd5f3,ChIJ0dwkyKIzGQ0RtTdkU7sSt94,DeBru Craft Beer,Bar,CLOSED_PERMANENTLY,PERMANENTLY CLOSED
Dear Breakfast Bica,Bica,Cafe,663e5f59a0f8e5b78189a85f,ChIJ_1gebYs1GQ0RcNYOzPpFICE,Dear Breakfast,Brunch Restaurant,OPERATIONAL,Open
Dear Cafe,Khlong San,Cafe,6760cb2ae4a85d59b97c32b9,ChIJnURH9OOZ4jARG0fPxAJt4JU,Dear Cafe,Coffee shop,OPERATIONAL,Open
Dear Rose Cafe,Central,Cafe,682f68cdb474326072435878,ChIJj00gne4nHw0Rn5kfNwsIgw4,Dear Rose Café,Coffee shop,OPERATIONAL,Open
Deep Sii - 57A Le Loi,Hai Chau,Cafe,67c19542b79a4084f67bc313,ChIJa_ghXnAXQjERmcROwQaw1q0,Deep Sii - 57A Lê Lợi,Coffee shop,CLOSED_PERMANENTLY,PERMANENTLY CLOSED
Deli Devi,Srithanu,Cafe,6784e216eaef01228e1bb4f4,ChIJp1YGc7H_VDARLETa3ynBrv0,Deli Devi,Vegan restaurant,OPERATIONAL,Open
Design District Coworking,Greenwich Peninsula,Coworking Space,6809cfff79bb466f4f651aa9,ChIJoaVQy_Wp2EcRhPeEABBkTLM,Design District,Business center,OPERATIONAL,Open
Designers Hub Coworking,District 7,Coworking Space,67dbb8283caa81895e3f0cf2,ChIJgdusBs0ldTERuwpeMGJ14mE,Designers Hub Coworking,Coworking space,OPERATIONAL,Open
Die Diele Coworking Space & Hangout,Ottensen,Coworking Space,67d81020a8225578775ef25e,ChIJVVX50ZGFsUcRgPfOf3kz-II,Die Diele Coworking Space & Hangout,Coworking space,OPERATIONAL,Open
Ditta Artigianale Riva d'Arno Florence,Florence,Cafe,66ddd4c0fa9ffe666938b549,ChIJ9QH7iSNXKhMRGmdI54yAxwY,Ditta Artigianale Riva d'Arno,Cafe,OPERATIONAL,Open
Dng.coffee,Da Nang,Cafe,6666b048ec480c4d81649b60,ChIJO7l-RdwZQjERNj5fr2VyZ9Y,Dng.coffee,Coffee Shop,OPERATIONAL,Open
Dome Lombok & Restaurant,Gerupuk,Cafe,661b191fca5426d279065b23,ChIJ8TZuYaMBzS0RpRa3_LN4aZc,Dome Lombok & Restaurant,Restaurant,OPERATIONAL,Open
Doppio,Canggu,Cafe,65fa86d0e0379bf78d524589,ChIJt3TwqKFG0i0RnC655q8-6X4,Doppio Cafe,Cafe,OPERATIONAL,Open
Doppio Coffee Warehouse Battersea,Battersea,Cafe,6809cff72aa4ba2c3edffb0f,ChIJD93d1p0FdkgR_FTnB9PKvr0,Doppio Coffee Warehouse Battersea,Coffee shop,OPERATIONAL,Open
Dorado Cafe,District 7,Cafe,668b8ee9693ce0961bc84f1f,ChIJd3QximjcQUcRWDu3p4iGf1A,Dorado Café,Cafe,OPERATIONAL,Open
Dot Cafe,Kesklinn,Cafe,67dbb82efd6d8320609aad81,ChIJv1SLVxKVkkYRJdJBKvZUnPU,Dot Cafe,Cafe,OPERATIONAL,Open
Dots Coffee,Thong Sala,Cafe,6784e2108eab5b56e37402fe,ChIJofG8a37-VDARunXw041Pw_g,Dots Coffee,Cafe,OPERATIONAL,Open
Downtown,Kedungu,Cafe,663291471cab4554c2878fce,ChIJOQjvnmE50i0RJIKxjkIn9js,Downtown Kedungu - Restaurant & Bar,Restaurant,OPERATIONAL,Open
Draftboard MBK Center,Siam,Coworking Space,674b37a331a2fd6ff89b763c,ChIJIQDC03Gf4jARokZmQtT-jG4,DraftBoard MBK center,Coworking space,OPERATIONAL,Open
Draper,Canggu,Cafe,65fa86d0e0379bf78d5245a3,ChIJPSz7pOE40i0Rx8lX8RG1nDM,Draper Startup House for Entrepreneurs Bali,Hostel,CLOSED_PERMANENTLY,PERMANENTLY CLOSED
Dream Cowork Hotel Lombok,Kuta,Coworking Space,6619cfabccb74532b4537edb,ChIJhb11Z9SpzS0R1gd5XwhJEG0,Dream CoWork Hotel Lombok,Hotel,OPERATIONAL,Open
Driftwood Cafe,Selong Belanak,Cafe,6619cfab6754354f62add829,ChIJW5P5SUSnzS0R5rZfBPM4SFk,Driftwood Cafe,Restaurant,OPERATIONAL,Open
DuaTiga,Bali,Untagged,65fa86d0e0379bf78d524585,ChIJc0G02ihH0i0RUxpiY3cjxDE,duatiga,Cafe,CLOSED_PERMANENTLY,PERMANENTLY CLOSED
EasyLife Campus,Godellawela,Cafe,682f68cd609c7f75894b2082,ChIJTWnYn5NL4ToRj_nHkqA4f6U,EasyLife Campus | Café + Bar + Restaurant + Yoga + Ayurveda Spa + Co-Working,Restaurant,CLOSED_TEMPORARILY,Temporarily closed
Eclektic Space I Coworking Poblenou,Poblenou,Coworking Space,6809cff43edc9df7affd0400,ChIJ_2K-76KjpBIRM7OyhK_OWto,Eclektic Space I Coworking Poblenou,Coworking space,OPERATIONAL,Open
El Café de Acá,Ycua Sati,Cafe,68a2fa2903f08bf14606d2f6,ChIJEQUXfHupXZQRQfIYIRlHRmk,El Café de Acá - Paseo Galería,Coffee shop,OPERATIONAL,Open
Eleven 11:11 Eleven,Barmbek,Cafe,6666b0c9475bacb265fd9237,ChIJm4_RTgCPsUcRzdkG-qyUzvg,eleven 11:11 eleven | komponistenviertel,Brunch Restaurant,OPERATIONAL,Open
Elmtree by Spacemade,Marylebone,Coworking Space,67d52fb283c0ed0c6c8cfe67,ChIJ-6dccP0bdkgRRBtVSGOYk4o,Elmtree by Spacemade,Real estate agency,OPERATIONAL,Open
Empress Coffee,Neubau,Cafe,6676cf062a6f276c22680660,ChIJZ0kKZAAttokREoe8MTjSbIw,Empress Coffee & Cocktails,Coffee Shop,OPERATIONAL,Open
Engelnest Coworking Space and Event Venue,Schoeneberg,Coworking Space,6809cff51f2325d5045f5e8c,ChIJXfG2Ok5RqEcRRYDQYLIIqrU,Engelnest Coworking Space and Event Venue,Coworking space,OPERATIONAL,Open
Enosta Space - Coworking & Coliving Space - An Nhon 3,An Hai Bac,Coworking Space,67dbb822e400d4eb3b3dafa6,ChIJsTIQVPwZQjERisX0ymdzD2E,Enosta Space - Coworking & Coliving Space - An Nhon 3,Coworking space,OPERATIONAL,Open
Escape Cafe,Long Beach,Cafe,67d509db7e2b022278f5098c,ChIJSZPzok8DTjARhH-gnWYr9lg,Escape Café,Cafe,OPERATIONAL,Open
Espai Born,El Born,Coworking Space,6809cff3ea423d76c26e7c7c,ChIJXU8RyP6ipBIRHyf0iEf5d_8,Espai Born,Coworking space,CLOSED_PERMANENTLY,PERMANENTLY CLOSED
Espresso Embassy,District 5,Cafe,67dbb81da4e8954f6bec5737,ChIJGyzE_xTcQUcRlvjbtChDLtU,espresso embassy,Coffee shop,OPERATIONAL,Open
Espresso House Gertigstrasse,Winterhude,Cafe,67dbb82605b2a7fae38f7d3c,ChIJd8k_LLeJsUcRzkulY9OyvVE,Espresso House,Cafe,OPERATIONAL,Open
Eurana Cafe & Restaurant,Old City,Cafe,67dbb8215990780b5fce6db0,ChIJ_____-852jAROT66xa178ys,Eurana Cafe & Restaurant,Coffee shop,OPERATIONAL,Open
Expat Roasters,Seminyak,Cafe,65fa86d0e0379bf78d5245b2,ChIJDRlg6xBH0i0RlYWXx9y2B4s,Expat. Roasters Seminyak Petitenget,Coffee Shop,OPERATIONAL,Open
FLOW Workspace,Sanur,Coworking Space,67f8adc654fe9b4f221d44d6,ChIJZdI3635B0i0RG_dHMtwAYM4,FLOW workspace,Coworking space,OPERATIONAL,Open
FULL-FILL Cafe Vegetarian,Klong Nin,Cafe,67d509db1816368273e4f87c,ChIJeXkZin8FTjARjGFZ_541R70,FULL-FILL Café Vegetarian & Refill Store,Coffee shop,CLOSED_TEMPORARILY,Temporarily closed
FWD:Coffee - Farringdon Rd,Farringdon,Cafe,6809cffe3d3ee1234b7bd9ed,ChIJCzWXnyQbdkgRDJHCYQJRoZ8,FWD:Coffee,Coffee shop,OPERATIONAL,Open
FWD:Coffee - Whitecross St,Old Street,Cafe,6809d0057e404065049f6ec4,ChIJCZ6sL6gcdkgRUYtjTynrh5I,FWD:Coffee,Coffee shop,OPERATIONAL,Open
Fabrica Coffee Roasters - Pena,Baixa,Cafe,67dbb82a9d7b9f1af5e4fabc,ChIJM9Q0OYEzGQ0R_mfBu1Aml5U,Fábrica Coffee Roasters,Coffee roastery,OPERATIONAL,Open
Federal Palma,Palma,Cafe,671a2069df76804d23b3534c,ChIJoxnma2CTlxIR88gdvZi4kPU,FEDERAL Brunch y Café de Especialidad - Palma,Brunch Restaurant,OPERATIONAL,Open
Feeka Coffee Roasters,Bukit Bintang,Cafe,664d020123feb877d95564c8,ChIJoZHXWCo2zDERg8ElLFMydz4,Feeka Coffee Roasters,Coffee roastery,OPERATIONAL,Open
Fekete,District 5,Cafe,668b8ee8a2ac86b35a9455f3,,,,NOT_FOUND,Not found on Google
Fern Forest Cafe,Old City,Cafe,67dbb820e95b63f8187e0a90,ChIJ2xINj5o62jARvGTpW7fWjts,Fern Forest Cafe,Cafe,OPERATIONAL,Open
Fika Cafe Telliskivi,Telliskivi,Cafe,66cf5711344f70f9f2b749a2,ChIJxXOn8C-TkkYRAzQbhYfk3U0,Fika Cafe,Cafe,OPERATIONAL,Open
Five30 Cafe,Canggu,Cafe,6725a28e4e06a595785f5a23,ChIJG12Rb_w50i0RVHCUPa5EK84,Five30 Cafe,Cafe,OPERATIONAL,Open
Flat+White Cafe,Thonglor,Cafe,674b37a08f6a3b8d67dbed68,ChIJ8cutYayf4jARnnr1olHN2bE,Flat+White cafe,Cafe,OPERATIONAL,Open
Flow Cafe & Eatery,Haad Salad,Cafe,6784e215cc89dd1a71be7d7b,ChIJ-8Mi1WgBVTARt_qUYOwWMAg,Flow Cafe & Eatery,Coffee shop,OPERATIONAL,Open
Flow Specialty Coffee Bar & Bistro,District 6,Cafe,67dbb81d0a49e102711f638a,ChIJsWzyeojdQUcR801h7ozTqDY,Flow Specialty Coffee Bar & Bistro,Vegan restaurant,CLOSED_PERMANENTLY,PERMANENTLY CLOSED
Foods & Roots,Chaloklum,Cafe,6784e214dbc183768451cd90,ChIJX9a-YlcDVTARkb9qD_f_tLA,Foods & Roots,Vegan restaurant,OPERATIONAL,Open
Footprint Cafes,Srithanu,Cafe,6784e2119557868af88b3205,ChIJIU9LyMj9VDAReBVKp-HW_SE,Footprint Cafes,Cafe,CLOSED_PERMANENTLY,PERMANENTLY CLOSED
Fora - 133 Whitechapel High Street,Whitechapel,Coworking Space,67d005782b0f8cde8c058153,ChIJkYaZKksDdkgR63q4ENoxEK8,Fora - 133 Whitechapel High Street,Real estate agency,OPERATIONAL,Open
Fora - 180 Borough High Street,London Bridge,Coworking Space,67d0057aaf08fe56f2775bd0,ChIJm_9vhlgDdkgR7PXgQdGoKQA,Fora - 180 Borough High Street,Real estate agency,OPERATIONAL,Open
